cross_section,longitudinal,depth,Temperature,Unit
5,-10,16,25.3,T6TTemp C
10,-10,16,25.3,T6TTemp C
15,-10,16,25.2,T6TTemp C
20,-10,16,25.3,T6TTemp C
25,-10,16,25.2,T6TTemp C
30,-10,16,25.2,T6TTemp C
35,-10,16,25.1,T6TTemp C
40,-10,16,25.2,T6TTemp C
45,-10,16,25.1,T6TTemp C
0,-5,16,25,T6TTemp C
5,-5,16,25,T6TTemp C
10,-5,16,25,T6TTemp C
15,-5,16,24.9,T6TTemp C
20,-5,16,24.7,T6TTemp C
25,-5,16,24.7,T6TTemp C
30,-5,16,24.8,T6TTemp C
35,-5,16,24.7,T6TTemp C
40,-5,16,24.7,T6TTemp C
45,-5,16,24.6,T6TTemp C
0,0,16,24.5,T6TTemp C
5,0,16,24.5,T6TTemp C
10,0,16,24.4,T6TTemp C
15,0,16,24.4,T6TTemp C
20,0,16,24.3,T6TTemp C
25,0,16,24.2,T6TTemp C
30,0,16,24.3,T6TTemp C
35,0,16,24.3,T6TTemp C
40,0,16,24.1,T6TTemp C
45,0,16,24.2,T6TTemp C
0,5,16,24.2,T6TTemp C
5,5,16,24.3,T6TTemp C
10,5,16,24.2,T6TTemp C
15,5,16,24,T6TTemp C
20,5,16,24.3,T6TTemp C
25,5,16,24.2,T6TTemp C
30,5,16,24.1,T6TTemp C
35,5,16,23.8,T6TTemp C
40,5,16,24,T6TTemp C
45,5,16,24.1,T6TTemp C
0,10,16,24,T6TTemp C
5,10,16,24.2,T6TTemp C
10,10,16,24.2,T6TTemp C
15,10,16,24.1,T6TTemp C
20,10,16,23.9,T6TTemp C
25,10,16,24.1,T6TTemp C
30,10,16,24.1,T6TTemp C
35,10,16,24.1,T6TTemp C
40,10,16,24.2,T6TTemp C
45,10,16,24.1,T6TTemp C
0,15,16,24.2,T6TTemp C
5,15,16,24.2,T6TTemp C
10,15,16,24.1,T6TTemp C
15,15,16,24.3,T6TTemp C
20,15,16,24.2,T6TTemp C
25,15,16,24,T6TTemp C
30,15,16,24,T6TTemp C
35,15,16,24.1,T6TTemp C
40,15,16,24.1,T6TTemp C
45,15,16,24.3,T6TTemp C
0,20,16,24.1,T6TTemp C
5,20,16,24.3,T6TTemp C
10,20,16,24.3,T6TTemp C
15,20,16,24,estimate
20,20,16,24.5,T6TTemp C
25,20,16,24.4,T6TTemp C
30,20,16,24.3,T6TTemp C
35,20,16,24.3,T6TTemp C
40,20,16,24.2,T6TTemp C
45,20,16,24.2,T6TTemp C
0,25,16,24.5,T6TTemp C
5,25,16,24.5,T6TTemp C
10,25,16,24.5,T6TTemp C
15,25,16,24.6,T6TTemp C
20,25,16,24.4,T6TTemp C
25,25,16,24.6,T6TTemp C
30,25,16,24.7,T6TTemp C
35,25,16,24.7,T6TTemp C
40,25,16,24.6,T6TTemp C
45,25,16,24.7,T6TTemp C
0,30,16,24.6,T6TTemp C
5,30,16,24.8,T6TTemp C
10,30,16,24.8,T6TTemp C
15,30,16,24.5,T6TTemp C
20,30,16,24.6,T6TTemp C
25,30,16,24.8,T6TTemp C
30,30,16,24.7,T6TTemp C
35,30,16,24.5,T6TTemp C
40,30,16,24.7,T6TTemp C
45,30,16,24.6,T6TTemp C
0,35,16,24.6,T6TTemp C
5,35,16,24.6,T6TTemp C
10,35,16,24.7,T6TTemp C
15,35,16,24.7,T6TTemp C
20,35,16,24.7,T6TTemp C
25,35,16,24.6,T6TTemp C
30,35,16,24.5,T6TTemp C
35,35,16,24.6,T6TTemp C
40,35,16,24.7,T6TTemp C
45,35,16,24.7,T6TTemp C
0,40,16,24.7,T6TTemp C
5,40,16,24.7,T6TTemp C
10,40,16,24.7,T6TTemp C
15,40,16,24.6,T6TTemp C
20,40,16,24.6,T6TTemp C
25,40,16,24.7,T6TTemp C
30,40,16,24.6,T6TTemp C
35,40,16,24.5,T6TTemp C
40,40,16,24.6,T6TTemp C
45,40,16,24.6,T6TTemp C
0,45,16,24.6,T6TTemp C
5,45,16,24.7,T6TTemp C
10,45,16,24.5,T6TTemp C
15,45,16,24.5,T6TTemp C
20,45,16,24.6,T6TTemp C
25,45,16,24.6,T6TTemp C
30,45,16,24.6,T6TTemp C
35,45,16,24.7,T6TTemp C
40,45,16,24.6,T6TTemp C
45,45,16,24.5,T6TTemp C
