cross_section,longitudinal,depth,Temperature,Unit,
30,210,12.8,24.8,T5TTemp C,
35,210,12.8,24.6,T5TTemp C,
40,210,12.8,24.7,T5TTemp C,
45,210,12.8,24.6,T5TTemp C,
50,210,12.8,24.5,T5TTemp C,
55,210,12.8,24.5,T5TTemp C,
58,210,12.8,24.4,T5TTemp C,
0,175,16,25.4,T6TTemp C,
5,175,16,25.4,T6TTemp C,
10,175,16,25.4,T6TTemp C,
15,175,16,25.4,T6TTemp C,
20,175,16,25.3,T6TTemp C,
25,175,16,25.3,T6TTemp C,
30,175,16,25.2,T6TTemp C,
35,175,16,25.2,T6TTemp C,
40,175,16,25.1,T6TTemp C,
45,175,16,25.1,T6TTemp C,
50,175,16,25,T6TTemp C,
55,175,16,25.1,T6TTemp C,
58,175,16,25.1,T6TTemp C,
0,180,16,25.3,T6TTemp C,
5,180,16,25.3,T6TTemp C,
10,180,16,25.3,T6TTemp C,
15,180,16,25.3,T6TTemp C,
20,180,16,25.3,T6TTemp C,
25,180,16,25.3,T6TTemp C,
30,180,16,25.3,T6TTemp C,
35,180,16,25.3,T6TTemp C,
40,180,16,25.3,T6TTemp C,
45,180,16,25.1,T6TTemp C,
50,180,16,25.1,T6TTemp C,
55,180,16,25.1,T6TTemp C,
58,180,16,24.9,T6TTemp C,
0,185,16,25.2,T6TTemp C,
5,185,16,25.1,T6TTemp C,
10,185,16,25.1,T6TTemp C,
15,185,16,25.1,T6TTemp C,
20,185,16,25.1,T6TTemp C,
25,185,16,25,T6TTemp C,
30,185,16,25,T6TTemp C,
35,185,16,24.9,T6TTemp C,
40,185,16,25,T6TTemp C,
45,185,16,25,T6TTemp C,
50,185,16,24.9,T6TTemp C,
55,185,16,24.7,T6TTemp C,
58,185,16,25,T6TTemp C,
0,190,16,25,T6TTemp C,
5,190,16,24.9,T6TTemp C,
10,190,16,24.9,T6TTemp C,
15,190,16,24.9,T6TTemp C,
20,190,16,24.9,T6TTemp C,
25,190,16,24.8,T6TTemp C,
30,190,16,24.8,T6TTemp C,
35,190,16,24.8,T6TTemp C,
40,190,16,24.8,T6TTemp C,
45,190,16,24.7,T6TTemp C,
50,190,16,24.6,T6TTemp C,
55,190,16,24.5,T6TTemp C,
58,190,16,24.8,T6TTemp C,
0,195,16,24.8,T6TTemp C,
5,195,16,24.9,T6TTemp C,
10,195,16,24.9,T6TTemp C,
15,195,16,24.9,T6TTemp C,
20,195,16,24.9,T6TTemp C,
25,195,16,24.9,T6TTemp C,
30,195,16,24.9,T6TTemp C,
35,195,16,24.9,T6TTemp C,
40,195,16,24.9,T6TTemp C,
45,195,16,24.9,T6TTemp C,
50,195,16,24.9,T6TTemp C,
55,195,16,24.9,T6TTemp C,
58,195,16,24.8,T6TTemp C,
0,200,16,25.1,T6TTemp C,
5,200,16,25.2,T6TTemp C,
10,200,16,25.1,T6TTemp C,
15,200,16,25.1,T6TTemp C,
20,200,16,25.1,T6TTemp C,
25,200,16,25.2,T6TTemp C,
30,200,16,25.2,T6TTemp C,
35,200,16,25.2,T6TTemp C,
40,200,16,25.2,T6TTemp C,
45,200,16,25.1,T6TTemp C,
50,200,16,25.1,T6TTemp C,
55,200,16,25.1,T6TTemp C,
58,200,16,25.1,T6TTemp C,
0,205,16,25.1,T6TTemp C,
5,205,16,25.3,T6TTemp C,
10,205,16,25.3,T6TTemp C,
15,205,16,25.3,T6TTemp C,
20,205,16,25.4,T6TTemp C,
25,205,16,25.4,T6TTemp C,
30,205,16,25.3,T6TTemp C,
35,205,16,25.4,T6TTemp C,
40,205,16,25.4,T6TTemp C,
45,205,16,25.4,T6TTemp C,
50,205,16,25.3,T6TTemp C,
55,205,16,25.1,T6TTemp C,
