Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
2128,3/10/26,12:15:49,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2129,3/10/26,12:15:50,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2130,3/10/26,12:15:51,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2131,3/10/26,12:15:52,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2132,3/10/26,12:15:53,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2133,3/10/26,12:15:54,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2134,3/10/26,12:15:55,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2135,3/10/26,12:15:56,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2136,3/10/26,12:15:57,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2137,3/10/26,12:15:58,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2138,3/10/26,12:15:59,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2139,3/10/26,12:16:00,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.5,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
