"cross_section","longitudinal","depth","Place","Date","Time","Temperature","Unit"
0,5,12.8,NA,NA,NA,NA,NA
0,5,16,NA,NA,NA,NA,NA
0,5,19.2,NA,NA,NA,NA,NA
0,5,22.4,NA,NA,NA,NA,NA
0,5,25.6,NA,NA,NA,NA,NA
0,5,28.8,NA,NA,NA,NA,NA
5,5,0,NA,NA,NA,NA,NA
5,5,3.2,NA,NA,NA,NA,NA
5,5,6.4,NA,NA,NA,NA,NA
5,5,9.6,NA,NA,NA,NA,NA
5,5,12.8,NA,NA,NA,NA,NA
5,5,16,NA,NA,NA,NA,NA
5,5,19.2,NA,NA,NA,NA,NA
5,5,22.4,NA,NA,NA,NA,NA
5,5,25.6,NA,NA,NA,NA,NA
5,5,28.8,NA,NA,NA,NA,NA
10,5,0,NA,NA,NA,NA,NA
10,5,3.2,NA,NA,NA,NA,NA
10,5,6.4,NA,NA,NA,NA,NA
10,5,9.6,NA,NA,NA,NA,NA
10,5,12.8,NA,NA,NA,NA,NA
10,5,16,NA,NA,NA,NA,NA
10,5,19.2,NA,NA,NA,NA,NA
10,5,22.4,NA,NA,NA,NA,NA
10,5,25.6,NA,NA,NA,NA,NA
10,5,28.8,NA,NA,NA,NA,NA
15,5,0,NA,NA,NA,NA,NA
15,5,3.2,NA,NA,NA,NA,NA
15,5,6.4,NA,NA,NA,NA,NA
15,5,9.6,NA,NA,NA,NA,NA
15,5,12.8,NA,NA,NA,NA,NA
15,5,16,NA,NA,NA,NA,NA
15,5,19.2,NA,NA,NA,NA,NA
15,5,22.4,NA,NA,NA,NA,NA
15,5,25.6,NA,NA,NA,NA,NA
15,5,28.8,NA,NA,NA,NA,NA
20,5,0,NA,NA,NA,NA,NA
20,5,3.2,NA,NA,NA,NA,NA
20,5,6.4,NA,NA,NA,NA,NA
20,5,9.6,NA,NA,NA,NA,NA
20,5,12.8,NA,NA,NA,NA,NA
20,5,16,NA,NA,NA,NA,NA
20,5,19.2,NA,NA,NA,NA,NA
20,5,22.4,NA,NA,NA,NA,NA
20,5,25.6,NA,NA,NA,NA,NA
20,5,28.8,NA,NA,NA,NA,NA
25,5,0,NA,NA,NA,NA,NA
25,5,3.2,NA,NA,NA,NA,NA
